Comment,Designator,Footprint,LCSC,Quantity
47u,C5,CP_EIA-3528-21_Kemet-B,C123253,1
LED1,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D4,D5,D6,D7,D8,D9",LED_0402_1005Metric,C130722,32
BUTTON1,"J1,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J2,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J3,J30,J31,J32,J4,J5,J6,J7,J8,J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C20079,32
Data,J33,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C2318,1
470,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R31,R32,R4,R5,R6,R7,R8,R9",R_0402_1005Metric,C25117,32
10k,"R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129,R130,R131,R132",R_0402_1005Metric,C25744,32
100n,"C1,C2,C3,C4",C_0805_2012Metric,C49678,4
74HC165,"U1,U2,U3,U4",SOIC-16_3.9x9.9mm_P1.27mm,C5613,4
