Designator,Footprint,Quantity,Value,LCSC Part #
J1,IDC-Header_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
"U1, U2",STH_7_2 Digits_0.28_CC,2,HDSM-443B_CC_2Digit_7Segment_STH,
