Comment,Designator,Footprint,LCSC,Quantity
47u,C5,CP_EIA-3528-21_Kemet-B,C123253,1
STP08DP05MTR,"U1,U2,U3,U4",SO-16_3.9x9.9mm_P1.27mm,C157385,4
100,"R1,R2,R3,R4",R_0805_2012Metric,C17408,4
1k,"R5,R6,R7,R8",R_0805_2012Metric,C17513,4
LED1,"J1,J10,J102,J11,J12,J13,J14,J15,J16,J17,J18,J19,J2,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J3,J30,J31,J32,J33,J34,J35,J36,J4,J5,J6,J7,J8,J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C20079,37
Dim,J103,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C2318,1
100n,"C1,C2,C3,C4",C_0805_2012Metric,C28233,4
5k,"RV1,RV2,RV3,RV4",Potentiometer_Bourns_3214J_Horizontal,C58391,4
